company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
, Bachwinkl,,,,AT,0.12,Hydro,Run-of-river,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Bärenwerk,,,,AT,11.6,Hydro,Reservoir,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Bischofshofen,,,,AT,16.0,Hydro,Run-of-river,,,,1984.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Böckstein,,,,AT,44.5,Hydro,Reservoir,,,,1981.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Dießbach,,,,AT,24.0,Hydro,Reservoir,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Eichetmühle,,,,AT,0.14,Hydro,Run-of-river,,,,1899.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Gamp,,,,AT,8.6,Hydro,Run-of-river,,,,2007.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Hammer,,,,AT,0.1,Hydro,Run-of-river,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Hintermuhr,,,,AT,36.0,Hydro,Pumped storage,,,,1991.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Hollersbach,,,,AT,5.2,Hydro,Reservoir,,,,2010.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Kreuzbergmaut,,,,AT,17.7,Hydro,Run-of-river,,,,1995.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Murfall,,,,AT,0.78,Hydro,Reservoir,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Nassfeld,,,,AT,31.5,Hydro,Pumped storage,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Remsach,,,,AT,30.9,Hydro,Reservoir,,,,1995.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Rotgülden,,,,AT,4.9,Hydro,Reservoir,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
