Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1262;Blåsvagrova;Kraftverk;;;Vestland;46;Sunnfjord;47;2005-01-01;2005-01-01;0,017;0,07;;;;3;083.F;
1793;Bog;Kraftverk;BOG KRAFT AS;992784954;Rogaland;11;Suldal;34;2008-11-19;2008-11-19;0,09;0,39;;;;2;035.8;
1333;Boge 1;Kraftverk;BOGE KRAFT AS;985993610;Vestland;46;Vaksdal;28;2007-01-01;2007-01-01;1,35;6,1;209;0,87;0,431;5;061.4A;
1463;Boge 2;Kraftverk;BOGE KRAFT AS;985993610;Vestland;46;Vaksdal;28;2008-09-02;2008-09-02;1,25;5,5;261,66;0,6;0,579;5;061.4A;
34;Bogna;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Snåase %u2013 Snåsa;41;1971-01-28;1971-01-28;57;136,5533;290;23,8;0,665;3;128.C43;
1705;Bordalsbekken;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Rogaland;11;Tysvær;46;2012-08-31;2012-08-31;1,9;5,9;205,4;1,04;0,507;2;039.21Z;
1700;Borgen;Kraftverk;VESTFOLDMØLLENE AS;910735802;Vestfold og Telemark;38;Sandefjord;04;2007-01-01;2007-01-01;0,09;0,5;;;;2;014.AZ;
35;Borgund;Kraftverk;ØSTFOLD ENERGI AS;879904412;Vestland;46;Lærdal;42;1974-10-04;1974-10-04;212;1083,8;874;28;2,103;5;073.C12;
1829;Borgåna;Kraftverk;BORGÅNA KRAFT AS;991968490;Rogaland;11;Suldal;34;2017-01-31;2017-01-31;1,95;5,5;346,5;0,7;0,774;2;038.1Z;
36;Borregaard;Kraftverk;SARPSFOSS LIMITED;916694385;Viken;30;Sarpsborg;03;1910-01-01;1910-01-01;51;250,5768;20,5;320;0,044;1;002.A4;
1649;Botnabakken;Kraftverk;BOTNABAKKEN KRAFT AS;992361301;Vestland;46;Sunnfjord;47;2009-02-05;2009-02-05;0,16;0,7;125;;;3;084.AB3;
1005;Botnaelva;Kraftverk;BOTNAELVA KRAFTVERK AS;821091152;Vestland;46;Kvinnherad;17;2005-06-07;2005-06-07;0,4;1,2;;;;2;045.31Z;
