name,eic_code,lat,lon
"ECOLOGICA LAMARCA, II",,,
HINOJAR III,,,
BIOJAEN,,,
ORUJERA SIERRA SUR,,,
BECOSA VILLA DEL RIO,,,
CENTRAL DE CERRATO,,,
AGROALDEA COGENERACION S.L,,,
AKULAR ARGI S.L.,,,
CAMPOSOLILLO,,,
EDAR DE LOGRONO,,,
INSTALACION DE GENERACION ELECTRICA CON BIOGAS DEL VERTEDERO DE LOS RUICES,,,
INSTALACION DE GENERACION ELECTRICA CON BIOGAS DEL VERTEDERO DE LOS RUICES,,,
C.H. EL CALVET,,,
C.H. VALDELAGEVE,,,
LA RUDA,,,
"PAPELES Y CARTONAJES DE EUROPA, S.A.",,,
"PAPELES Y CARTONAJES DE EUROPA, S.A.",,,
LA FLOR,,,
LA CASTELLANA,,,
ANLLONES,,,
CERDEDO,,,
GANDARA,,,
C.H. CASTELLAS,,,
PLANTA DE COGENERACION,,,
MUSA V,,,
MOLI DEN MONEGAL,,,
COGENERACION SOLVIDA SANXENXO,,,
COGENERACION SOLVIDA SANXENXO,,,
I.F. LIGUERZANA 1,,,
PLANTA TRATAMIENTO  DE BIOMASA,,,
CAN FILTEX,,,
PLANTA DE SECADO TERMICO DE FANGOS EDAR,,,
CH RIO BAXOI O ANDURINA,,,
APROVECHAMIENTO HIDROELECTRICO CASTRO CALDELAS,,,
GRAU,,,
"VALORIZACION ENERGETICA DE GAS DE VERTEDERO, S.L.",,,
PARTIDA DONA MORTA,,,
SARRIOPAPEL Y CELULOSA,,,
CH SANT LLORENC DE MONTGAI,,,
CH SANT LLORENC DE MONTGAI,,,
CH CARBURS,,,
CENTRAL HIROELECTRICA DE GUARDA,,,
CENTRAL HIROELECTRICA DE MORATALLA,,,
LA LERA,,,
DOMIKO,,,
"AMPLIACION PAPELES Y CARTONAJES DE EUROPA, S.A.",,,
ENERGIA PORTATIL COGENERACION,,,
LA RABEYA,,,
FEITUS,,,
VIANA III,,,
LUGAR DEL RIO,,,
LUGAR DEL RIO,,,
LA MAMBLA,,,
GUALBA III,,,
EL ROSARITO,,,
EL VILLAR,,,
PROFUSA,,,
ALANGE,,,
AUREVAL,,,
USABAL,,,
ENERCRISA,,,
CG NUFRI-1,,,
CG NUFRI-1,,,
CG NUFRI-1,,,
NESTLE,,,
NESTLE,,,
NESTLE,,,
TALARN III,,,
SANT QUIRZE DE BESORA,,,
BAGA,,,
LA ALDEHUELA,,,
CG ESPUNA,,,
CG ESPUNA,,,
HOSPITAL DEL VALLE DEL NALON,,,
C.H. ARNOYA  (MODIFICADA 7-12-05),,,
IGARAN,,,
ARACENA,,,
PRESA DE LORIGUILLA,,,
"BAYER HISPANIA, S.A.",,,
TRATAMIENTO DE PURINES EL BONILLO,,,
TRATAMIENTO PURINES CONSUEGRA,,,
LADRILLOS LAS NIEVES,,,
PEDRO,,,
"MAIER, S. COOP",,,
FABRICA DE CREACIONES Y DISENO DE ESCAYOLA,,,
SORIA INGENIERIA BAENA,,,
MATADERO DE ZUERA,,,
INDUSTRIAS DEL UBIERNA,,,
RECUEJA,,,
RECUPERACION MATERIALES DIVERSOS,,,
COOSUR,,,
CAL METRE,,,
ERCETESA,,,
HOSPITAL SANTA ISABEL,,,
HORTA MEDIO AMBIENTE,,,
ISOCOLD,,,
CIERVES,,,
INDIPUNT,,,
LA ALJORRA-CARTAGENA,,,
MOLINO DE SUSO,,,
FINCA EL FELIPER,,,
JUANJO,,,
BECOSA-PALOS,,,
CERAMICA CUESTA VILA,,,
ARIZU,,,
TRADEMA COGENERACION,,,
BIOELECTRICA JIENENSE,,,
COGENERACION LADRILLERA LA MURCIANA,,,
MONTANERA,,,
SURRIBES,,,
TUNO I,,,
"MERCERIZADOS GUASCH, S.A.",,,
MERCADONA,,,
CABISCOL,,,
CERAMICAS CALAF,,,
FRIGORIFICOS DEL NOROESTE,,,
MIMSA,,,
EDAR GUADALETE,,,
COFRUSA COGENERACION,,,
MOVIALSA,,,
SAICA 3 Y AMPLIACION,,41.544164,-0.675767
SAICA 3 Y AMPLIACION,,41.544164,-0.675767
TRATAMIENTO DE PURINES EN BURUJON,,,
USARGOITI,,,
SICOGESA-CORCO,,,
PURON,,,
LA PAPELERA DEL FRESSER,,,
